,strategy,benchmark
2021-12-30,14439.958424005517,19022.310815336932
2021-12-31,14432.692167367544,18943.871076268853
2022-01-03,14375.630603785754,19028.203902400186
2022-01-04,14327.678416805447,18832.13231707812
2022-01-05,14231.240210833486,18301.154862669326
2022-01-06,14222.157084647324,18325.158178402737
2022-01-07,14185.126933097215,18132.114389940383
2022-01-10,14229.03637722003,18248.354118092957
2022-01-11,14276.231976536625,18483.365264508655
2022-01-12,14269.975576705845,18516.99865012577
2022-01-13,14168.53382425697,18035.089070647053
2022-01-14,14211.575068260114,18172.128399178833
2022-01-18,14155.636220235592,17787.13984529394
2022-01-19,14132.104594295306,17565.497280323274
2022-01-20,14090.86397397434,17262.839087986038
2022-01-21,14043.256187974093,16938.496348774443
2022-01-24,14035.264395321134,16986.818788899487
2022-01-25,14084.343548986839,16705.28963938574
2022-01-26,14086.834761316066,16722.65356540612
2022-01-27,14125.714343882086,16574.315218504675
2022-01-28,14124.25110242572,17038.103149854607
2022-01-31,14118.349307645462,17493.148617500185
2022-02-01,14157.70321263648,17668.874101232916
2022-02-02,14172.404099069023,18020.180466853377
2022-02-03,14169.922675187601,17354.414322664437
2022-02-04,14184.837472533936,17417.05472974329
2022-02-07,14218.136096081702,17341.207981564614
2022-02-08,14211.04218258356,17477.24981717322
2022-02-09,14222.632763673351,17868.432291357647
2022-02-10,14183.754382756782,17417.708837528768
2022-02-11,14165.479758122314,16850.488153599377
2022-02-14,14157.198909403342,16815.58929843219
2022-02-15,14196.693056000526,17246.302593544056
2022-02-16,14209.160580811216,17203.706399762155
2022-02-17,14155.953242164429,16726.770206411868
2022-02-18,14096.65644990548,16582.40381951472
2022-02-22,14072.180650492672,16485.73276912631
2022-02-23,14062.795905583898,16191.921462018456
2022-02-24,14098.99716060182,16660.59807854886
2022-02-25,14176.1666967731,17039.856019967545
2022-02-28,14197.438062645748,17077.31682638258
2022-03-01,14246.372248548236,16792.20854909363
2022-03-02,14338.47591036765,17157.031546570423
2022-03-03,14370.106006858608,17024.90970378776
2022-03-04,14425.081777711186,16914.240365360554
2022-03-07,14409.842056949481,16415.494549676823
2022-03-08,14362.4361072916,16333.882166725376
2022-03-09,14389.25468891042,16828.789327994797
2022-03-10,14405.43026496091,16693.6151536099
2022-03-11,14406.847203892565,16466.31058434344
2022-03-14,14370.99694294409,16229.436483242474
2022-03-15,14382.977029929767,16656.81555289334
2022-03-16,14386.50881363346,17092.598062851666
2022-03-17,14485.076734770799,17283.338514015337
2022-03-18,14518.628993836468,17631.98407481347
2022-03-21,14555.1070989722,17686.367717166257
2022-03-22,14564.438860743601,17789.035290780277
2022-03-23,14450.81873227378,17471.866820154857
2022-03-24,14595.907940592106,17951.416313380218
2022-03-25,14664.404457501652,18001.153165076597
2022-03-28,14705.074515390079,18135.213599910065
2022-03-29,14758.187360900949,18335.33674127525
2022-03-30,14755.775279288824,18167.994459364952
2022-03-31,14646.394537528884,17869.758599517332
2022-04-01,14682.356098937327,17848.5430026133
2022-04-04,14699.66545466296,18054.091998280204
2022-04-05,14619.214216873992,17706.2779727544
2022-04-06,14688.262147080542,17463.52600571471
2022-04-07,14811.381629973357,17614.718979320896
2022-04-08,14805.207341165202,17456.085777500302
2022-04-11,14635.21471589708,16994.52139302395
2022-04-12,14603.95585410497,16891.22877907947
2022-04-13,14637.160044858061,17086.857333182787
2022-04-14,14597.919654019148,16801.676303877535
2022-04-18,14547.405145384268,16854.78056297847
2022-04-19,14532.794130297312,17054.230199621983
2022-04-20,14604.128679261736,17017.0463304041
2022-04-21,14507.87347353691,16654.9063871249
2022-04-22,14248.949932299241,16106.470978117366
2022-04-25,14212.719711308537,16205.733328534541
2022-04-26,14147.409609115915,15714.80093907939
2022-04-27,14160.420443034509,15720.722872279775
2022-04-28,14190.203732415768,16353.529068089085
2022-04-29,14137.263719793875,15797.162466789878
2022-05-02,14139.899031983396,16067.818744738548
2022-05-03,14154.388266948976,16124.010364714437
2022-05-04,14176.045539154888,16707.9822050253
2022-05-05,14171.272986065605,16099.048164101268
2022-05-06,14185.751569573904,16083.099380917158
2022-05-09,14146.995266245696,15374.297806993658
2022-05-10,14152.177601944906,15592.139338720173
2022-05-11,14158.833229632892,15331.81560477909
2022-05-12,14176.514878472757,15349.091884547704
2022-05-13,14207.293225038562,15836.129545089287
2022-05-16,14249.896272305446,15817.077928072491
2022-05-17,14264.006888971011,16239.172215762981
2022-05-18,14225.984158207404,15625.612136211446
2022-05-19,14219.458057146538,15487.514938902721
2022-05-20,14228.378209225712,15545.61076158779
2022-05-23,14288.298581769564,15731.472888274453
2022-05-24,14267.896077669806,15528.160338465947
2022-05-25,14304.226919322127,15687.878421053218
2022-05-26,14367.560479652084,16014.758322645223
2022-05-27,14412.316820951586,16498.672970489522
2022-05-31,14370.399275995358,16343.896157837153
2022-06-01,14330.643628820711,16269.65417679305
2022-06-02,14485.17047804187,16678.716488424234
2022-06-03,14417.322153371522,16400.238510504158
2022-06-06,14371.481776029776,16382.516139573558
2022-06-07,14498.855606143436,16624.22773161096
2022-06-08,14405.757460948334,16467.010035335206
2022-06-09,14251.123677983902,16057.41269206524
2022-06-10,14016.556941355297,15564.999174699456
2022-06-13,13697.913319797084,14912.886405555291
2022-06-14,13671.230632793005,14937.640004794757
