,strategy,benchmark
2023-04-12,17770.267858612697,17639.5017485478
2023-04-13,18021.525987603633,17880.741187605367
2023-04-14,18008.969561937538,17865.71042140094
2023-04-17,17989.851505989067,17839.257165810297
2023-04-18,18023.98833089292,17879.09606624799
2023-04-19,18168.940549034454,17972.718632151915
2023-04-20,18028.003392733484,17828.07018004785
2023-04-21,18061.43290895739,17863.185717744534
2023-04-24,18066.728988516807,17881.26225058241
2023-04-25,17742.99012251482,17528.396844460516
2023-04-26,17744.89054602076,17486.488684480188
2023-04-27,17989.064172376555,17716.741104636814
2023-04-28,18216.957597899454,17944.175224106428
2023-05-01,18409.65022799839,18060.76380510783
2023-05-02,18140.66751967351,17798.711776581953
2023-05-03,18007.215060568484,17663.877003213114
2023-05-04,17951.718088721103,17569.38700015903
2023-05-05,18316.714404727707,17923.444957425127
2023-05-08,18402.49395816294,17983.617769352804
2023-05-09,18282.47649093798,17856.832663736808
2023-05-10,18439.483220259455,17985.7114708827
2023-05-11,18405.564618563338,17922.326116781023
2023-05-12,18361.644477648308,17882.639580412488
2023-05-15,18488.633674738514,18006.361505351902
2023-05-16,18495.347696556833,17979.265041783157
2023-05-17,18749.56877718522,18224.96150761332
2023-05-18,19063.323634870303,18530.57537082228
2023-05-19,19097.53069451744,18564.34857867917
2023-05-22,19081.213444039964,18538.219702118357
2023-05-23,18861.412581906618,18333.262277527625
2023-05-24,18793.883296155644,18256.13068078644
2023-05-25,19712.0084901187,19051.10294679091
2023-05-26,20143.123823382677,19450.355015917063
2023-05-30,20194.384427185112,19510.032528442185
2023-05-31,19934.777590447757,19266.352682083292
2023-06-01,20148.578669446026,19479.116233114666
2023-06-02,20318.246368559667,19629.043682227257
2023-06-05,20296.615633016416,19581.874811158435
2023-06-06,20266.015730783984,19581.705972327425
2023-06-07,19984.380877924734,19361.78981084964
2023-06-08,20227.522224450986,19570.733692657213
2023-06-09,20340.94738390315,19685.20808999763
2023-06-12,20627.731013397453,19987.829718725145
2023-06-13,20785.73054462465,20139.937374357833
2023-06-14,21072.9214270512,20386.9241112778
2023-06-15,21241.101546944985,20577.51598339812
2023-06-16,21138.60879448724,20474.66058716554
2023-06-20,21125.974678290942,20391.04076107571
2023-06-21,20890.41046681785,20172.141067340453
2023-06-22,20960.912393962575,20228.20409806849
2023-06-23,20796.024733221577,20040.068900615344
2023-06-26,20526.92714737674,19839.621621207883
2023-06-27,20823.045042143767,20113.651208987125
2023-06-28,20775.81535244496,20058.278746832042
2023-06-29,20859.219508153197,20156.719245060187
2023-06-30,21174.245684057994,20448.64110710665
2023-07-03,21134.616888715842,20407.084823909416
2023-07-05,21111.155191350663,20353.00598967261
2023-07-06,20932.19982656557,20158.794490831122
2023-07-07,20890.130611036806,20116.167400405553
2023-07-10,20985.544425224998,20231.13021381412
2023-07-11,21052.62220595982,20299.32313660638
2023-07-12,21365.9789262798,20592.83768498599
2023-07-13,21661.702997841356,20852.630234721393
2023-07-14,21649.718661718136,20822.780390099513
2023-07-17,21805.81017269354,20957.562560498962
2023-07-18,22007.722065422608,21125.191222287398
2023-07-19,21969.8393849809,21108.141806406806
2023-07-20,21772.688098783132,20912.8523255525
2023-07-21,21734.965476149755,20961.5981115918
2023-07-24,21780.93948465408,21019.68101657267
2023-07-25,21985.00489251037,21196.347760138015
2023-07-26,21899.043175602073,21071.156023918687
2023-07-27,21882.60658786606,21063.12498616497
2023-07-28,22150.128817557226,21294.498046262663
2023-07-31,22148.9316237578,21325.660125039554
2023-08-01,22167.370142914686,21332.514494635194
2023-08-02,21648.66510942696,20863.95362339087
2023-08-03,21603.084581800016,20773.222473120135
2023-08-04,21550.947641892588,20735.11134386361
2023-08-07,21784.632739916895,20927.741043288148
2023-08-08,21871.67828981296,20982.54739876645
2023-08-09,21546.69939663272,20704.649183781043
2023-08-10,21534.705229674928,20693.96260238579
2023-08-11,21403.472811060285,20585.709083213358
2023-08-14,21862.713675799525,20981.81261874509
2023-08-15,21776.908376112842,20876.745112039094
2023-08-16,21570.739122102852,20661.053333314252
2023-08-17,21447.943563457928,20580.90236940209
2023-08-18,21453.897453925707,20605.882267386594
2023-08-21,21957.092909927353,21011.449321137836
2023-08-22,21792.631622303605,20858.598379118997
2023-08-23,22120.191932745714,21166.20892398536
2023-08-24,21787.744173698757,20820.845230091745
2023-08-25,21851.339172698437,20927.06993508899
2023-08-28,22040.532158050817,21105.278991334446
2023-08-29,22463.887229469103,21506.682919507508
2023-08-30,22572.584439777358,21606.059708055836
2023-08-31,22668.366042195867,21680.488257700254
2023-09-01,22640.467100379068,21689.17324818349
2023-09-05,22616.55550999997,21677.306707807704
2023-09-06,22408.487771455948,21496.795415088305
2023-09-07,22285.79987137629,21339.500238231245
2023-09-08,22317.84588541522,21366.659237565378
2023-09-11,22380.318275801936,21429.556876787025
2023-09-12,22231.414773670233,21211.651325008268
2023-09-13,22362.848257978807,21335.758499875195
2023-09-14,22486.489932058845,21480.306539962156
2023-09-15,22027.529093735575,21081.499120518933
2023-09-18,22083.12832301933,21111.25478196571
2023-09-19,22078.88955550284,21101.59914130323
2023-09-20,21741.059588356246,20807.409114352733
2023-09-21,21253.534852439407,20363.30512977592
2023-09-22,21335.063001408496,20427.35325290939
2023-09-25,21505.43671763413,20587.995993570035
2023-09-26,21254.505235245433,20345.153720410104
2023-09-27,21368.37447448347,20455.944594375855
2023-09-28,21542.13202545812,20621.015455455683
2023-09-29,21454.940482824393,20539.740047444757
2023-10-02,21604.250750609866,20642.89083700317
2023-10-03,21255.397850913563,20338.65672868084
2023-10-04,21444.01297957621,20483.059977021938
2023-10-05,21507.528922805937,20509.29923423892
2023-10-06,21961.69113658981,20887.074113711988
2023-10-09,22105.445593672284,21031.665120611946
2023-10-10,22215.62453193762,21119.24997375451
2023-10-11,22430.725520579224,21255.389891655377
2023-10-12,22443.60451575282,21243.419792754965
2023-10-13,22220.763992119744,21059.162163395744
2023-10-16,22452.61856523798,21271.54477079877
2023-10-17,22240.636674174053,21116.38975791919
2023-10-18,21975.870872150834,20871.95967771715
2023-10-19,21826.339193790423,20754.410089444093
2023-10-20,21543.797773541377,20440.028921039342
2023-10-23,21578.070764632725,20459.79449838792
2023-10-24,21755.66279266694,20594.036489380855
2023-10-25,21208.326363785658,20069.162526516866
2023-10-26,20768.494975857153,19720.28722371781
2023-10-27,20686.989117178084,19636.086673521335
2023-10-30,20927.10999726415,19841.612529776856
2023-10-31,20938.68022882431,19887.59266126723
2023-11-01,21334.070573676647,20232.181310464464
